net,local_idx,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg,rho_even,rho_odd,q_odd_over_even,radius_parity_separation
206,65,7,1,0.2967525301374655,0.10862336925171025,4.35291493537412,2.6107999224684573,0.39755332385963166,1.4779818915922387,-149.5878146610372,4.376260042351615,4.329569828396625,0.9893310238644091,0.01072619489426727
211,66,7,1,0.20420744698550214,0.057633740689699724,4.212366099281379,-0.2554463416450904,0.3314558633482885,0.6990135615991587,14.635998674098607,4.181768768284154,4.2429634302786035,1.0146336790447548,0.01452738450366163
213,67,1,1,0.10847077641763528,0.05159781050107612,4.402360812688582,-2.602599655528012,0.19230271970900722,0.502033822266148,149.11797580830913,4.3866583239246,4.418063301452565,1.0071592030217362,0.007133667335364543
218,68,5,1,0.18481289300362638,0.04399804471591223,4.373237195077485,-0.40135627185544503,0.3337014104694603,0.6688923326619666,22.996022284530884,4.3350174421347925,4.411456948020176,1.0176330330628938,0.017478929789453052
219,69,7,1,0.14667131010219198,0.06255894860316774,4.351100526742073,-1.0136730976203963,0.24602042433633783,0.7479508150374825,58.079189566539014,4.292881177393464,4.409319876090682,1.0271236714657723,0.02676074661607565
220,70,11,1,0.06242411663273739,0.04165552469569058,4.429833117255575,0.2568444851877744,0.09532443664676789,0.3605950974473917,-14.716105005440502,4.390785968982759,4.46888026552839,1.0177859492804482,0.017629173487693998
221,71,7,1,0.2391174008236705,0.08405510577400423,4.407231113011363,1.1567439576237966,0.3878620594718992,1.009106754918676,-66.27654428005508,4.373275349844925,4.4411868761778015,1.0155287561153186,0.015409113929238443
224,72,1,1,0.15868444075973448,0.04157071171341651,4.420643337726021,1.3815383561824774,0.2721409090902624,0.9239812177244607,-79.15631671005006,4.4733556687319345,4.367931006720108,0.9764327565660095,0.023848262335965178
227,73,11,1,0.12221673599170708,0.028729995739124225,4.30650714891065,0.5501677774081051,0.22375991615314114,0.48073100885251857,-31.52229220902407,4.283491708127967,4.3295225896933305,1.0107461119810317,0.010688681099021874
229,74,11,1,0.17133893317229607,0.035651088866006965,4.242072659049521,2.094211042498244,0.28877480061058186,0.6617598479165844,-119.98945487024743,4.239942062292424,4.244203255806618,1.001005012203372,0.0010045074322581923
231,75,11,1,0.18090583442727745,0.05260416166845026,4.22607495959278,1.2178950671092894,0.3023423859225618,0.637019190740261,-69.78024570121804,4.269438584236149,4.182711334949411,0.9796864979843116,0.020521938232514345
232,76,7,1,0.2819680873002761,0.05984652544847442,4.365112803116347,2.970044510184033,0.49128255312511376,1.1041649035576317,-170.17101078526355,4.382507492895868,4.347718113336827,0.9920617638154788,0.007969869537896974
235,77,5,1,0.18473077008153663,0.07585476971985147,4.408391641652688,-2.7373040505577273,0.3386433509106419,0.8107198569670949,156.83596751854233,4.230612622707898,4.586170660597478,1.0840441017882647,0.08065482080359868
238,78,11,1,0.2134137967208598,0.07135369697692448,4.382763847242328,1.687103532406238,0.33338508494251823,0.8416748996323233,-96.66391321366478,4.400994259804335,4.364533434680319,0.9917153209089536,0.00831913979279482
239,79,7,1,0.09185078158403677,0.061208803782205785,4.416085170251033,-2.5095991635823274,0.15966423806220528,0.48007513846604555,143.78944039579252,4.378429239213248,4.453741101288817,1.0172006575785388,0.017053987677345492
240,80,7,1,0.10061634746303717,0.04527791407964871,4.366512556234293,-2.1450203414178803,0.18332434882432122,0.3884175944339923,122.90061277753834,4.373997461115312,4.359027651353272,0.9965775449356975,0.003428321702789371
241,81,1,1,0.1388195329792142,0.030660173758351783,4.352078519189245,1.3880260580541532,0.21141162961943202,0.5811683691282704,-79.52803466541644,4.2980636191665225,4.406093419211968,1.0251345279217607,0.024822576056272576
246,82,5,1,0.14523241329455003,0.0360697809135414,4.347236311411119,-1.6341543257959343,0.1762366888773437,0.7026787682755897,93.63014586663937,4.295986584156123,4.398486038666115,1.0238593516301975,0.023578072864578355
250,83,5,1,0.14588928213002825,0.06541016472580795,4.4937432812904,-2.06050673396506,0.2436870047695362,0.8830742921761227,118.05834000448121,4.441169690739817,4.546316871840982,1.0236755603642897,0.023398573198193762
251,84,11,1,0.17575348590967851,0.06672850723494164,4.235738615079253,-2.1488385027337364,0.32318586964670143,0.7695551288180361,123.11937832458568,4.254598588258135,4.21687864190037,0.9911343113632705,0.008905163841669155
252,85,7,1,0.19854753001838987,0.08018640035514084,4.493281820516903,-1.4244534979590977,0.29643542158508324,0.8806765151739423,81.61517257234614,4.524873276320984,4.4616903647128225,0.9860365345613539,0.014061640051078118
262,86,1,1,0.24132594980067593,0.0917042746139011,4.427719076480054,-1.1896647005764298,0.4303562144339376,1.0479766045865737,68.16276244258657,4.506907294356011,4.3485308586040965,0.9648591760584362,0.03576930537287388
