net,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg
206,7,1,0.1873386628262748,0.06465524056176143,4.155467312884179,3.134829269903453,0.2867334961754153,0.7934696612749796,-179.61248729785683
207,4,2,8.950293476211574,0.5779463431143937,5.558970592990638,-1.4967553683248465,13.313524384306907,27.169702223843515,85.98159792014042
208,9,1,0.21556900902914705,0.041200679583657,3.8586106147619974,1.9087581186150613,0.30728339777727165,0.9506417713766518,-109.36378539982563
209,1,1,0.1617922561072381,0.07511954868784562,4.02254072013923,-1.970672651800292,0.29645610957981816,0.8085184706793899,112.9112249016406
210,9,1,0.16927345922216339,0.03650189230445338,3.8619145285510768,-0.5122213541089771,0.28048328159183183,0.9895984014857172,29.34812081193807
211,7,1,0.21940536131784835,0.07342461647325305,3.9281356656226962,0.2924642505688735,0.3797333285059949,1.1024377163869854,-16.756969997243115
212,9,1,0.18802582615332397,0.06506080325021171,3.9458365363989096,1.579102831887608,0.3052216356443888,1.037941281879979,-90.47592785974018
213,2,2,9.126089654324998,0.5787979429645729,5.921334216639512,2.2714189776582314,13.570377491283867,27.71356620840568,-129.9052063402966
214,3,1,0.19664844616001578,0.06932790373165548,4.037564070503802,-0.5862179902977199,0.38297307416372117,1.0016344906951804,33.58781868686214
215,6,2,9.423793165040518,0.5654873165759038,5.87826901200635,1.7291564451723984,14.004712240853756,28.67263974655005,-99.33533680493365
216,7,1,0.21805125525973698,0.07414623480853338,3.8974127083732077,-0.38954286807631416,0.36407769607581913,1.177827491314071,22.319164844729126
217,7,1,0.26098587465067924,0.10295101965734324,4.001813824750611,2.722119266703578,0.4050116885845945,1.0751732995760956,-155.96594146717072
218,3,1,0.20537720707435853,0.059879382685353935,3.924727206059294,-0.44238907633975516,0.3621644141535451,1.0337170435080598,25.347029208213222
219,3,1,0.22187228541638057,0.05673699053497652,3.9305540595174464,3.0351239063453233,0.29006795398566937,1.1946325280346424,-173.89978947658253
220,1,1,0.16781109489548546,0.033102887163819476,4.020158078138186,-1.2896660449163755,0.2232058450383522,0.7619720287207418,73.89242105895627
221,9,1,0.222459994050016,0.0812329293009016,4.077125405071653,-2.8147871497034176,0.35686467500006264,1.0792146301897667,161.27542301062107
222,7,1,0.1588139979334888,0.0428551335669663,3.868551941081326,0.8933989881054429,0.26142953627777565,0.7628634821390831,-51.187991265848964
223,7,1,0.1865864711882629,0.05079703632927261,3.96020045623659,-2.39806344396415,0.32503617142640817,0.6438982873048522,137.39891440590696
224,2,2,9.154568469159804,0.5776088259418759,6.079555022199933,3.137445652062856,13.611963544538494,27.857916455622412,-179.5226108284691
225,9,1,0.28931939447419025,0.04767254744371671,3.9441922158571914,1.0908089317409455,0.47935836869197956,1.1768671823880241,-62.49874291860904
226,9,1,0.15636684046226032,0.04288934087335693,3.964667665809157,1.4683481145263233,0.23450822676050367,0.7625613526599823,-84.13014963676709
227,2,2,8.912403614571895,0.5535737153889488,5.910715833637299,1.7261334539705486,13.258128215584403,27.052840979121257,-98.67920617395079
228,1,1,0.32628810872465674,0.1026071233598873,3.9880617843353656,1.9353023655192203,0.5299358431284792,1.4762364988981045,-110.88466700563428
229,3,1,0.14104480668123173,0.036727647189999074,3.979033392923457,1.099043505692677,0.24750608562448093,0.881524686019607,-62.97055363639474
230,1,1,0.15769754401493194,0.06015929465801225,3.941906578353817,1.6740241799081312,0.27408091435711573,0.8071047219606207,-95.91452087841616
231,9,1,0.1952624069589734,0.06201904643073781,4.050929080803251,1.3975081877374858,0.2813308267566423,1.2217029585553156,-80.07132114528746
232,9,1,0.15729929774440193,0.07049071607749455,3.9347330743483537,-2.701818783524233,0.2830333098386325,0.8151934522461743,154.802812597042
233,8,2,9.329289516290073,0.5815486231848959,6.240029730323005,2.6908421727836442,13.866919348604105,28.600436160974613,-154.42792903828243
234,1,1,0.22239240877986757,0.06657805761277584,4.035057336587421,2.8013073047327,0.3656479519912719,0.9875453423121613,-160.50308458559246
235,8,2,9.425499023186052,0.5631230466363274,5.959252670778595,1.2244848699640334,14.007192219655575,28.664588697517267,-69.89569973963732
236,3,1,0.1856659392078794,0.0533351674425265,3.7145198946074998,1.281622901350781,0.30174251044207545,0.9558372582428152,-73.4315817318892
237,7,1,0.1792862162223101,0.06266326120502702,3.909149652479047,-1.7902808694098487,0.28920855634504516,0.8609782112358363,102.57553944404621
238,6,2,9.18890099231013,0.5690033721553713,6.056650323683721,1.0625779906242927,13.662081610246222,27.975661435334484,-60.638695747900464
239,9,1,0.18366181719400584,0.052805980957827986,3.8240299373035946,-2.3282978861663786,0.3496318081753191,0.742130256722547,133.40164317814165
240,7,1,0.20875618930292092,0.0842988993352938,3.9104704698704027,-2.292781063604431,0.3203000410126073,1.0445981516922294,131.366677448655
241,1,1,0.4015770209950079,0.11405468378576913,3.969280378722601,-1.8108673898572782,0.6294728412816178,2.0176984393232837,103.75507247567282
242,3,1,0.22878240021486934,0.09644062924612906,4.121383548572331,2.140604299397051,0.38042138512420237,1.295307475104555,-122.64759339285575
243,4,2,9.315884010873946,0.5492570481684594,6.005607806397738,0.5616726121358164,13.847368265822743,28.36336822795828,-32.434386363255314
244,2,2,9.067261471700725,0.5620720714950751,5.994650555185871,2.1552211375890424,13.48445714273251,27.587866220381635,-123.71794928446647
245,7,1,0.13465033152605602,0.06246416045410709,4.117186082636655,-3.0951544552818673,0.213134420762785,0.6163221060751101,177.3392870920798
246,7,1,0.17478549236033158,0.047669283705163545,4.020913708708852,-0.6036220772519973,0.28403001219383234,0.9805489188051251,34.58499749270665
247,9,1,0.15956009052752573,0.0645403380696234,3.8863569048207447,0.7370890139136351,0.27312319913766697,0.6122862050507227,-42.23209022791676
248,7,1,0.16335716908981981,0.04151488617454193,4.042699018745687,0.21725334954765982,0.2532680204008597,0.7835217222320701,-12.44770104879619
249,7,1,0.14679886038648368,0.07952973987637775,3.928371714396987,-1.4322634896903315,0.2623692235052438,0.9702839538469014,82.06265238825479
250,6,2,9.35174075799721,0.5886820147509193,5.944072230288425,-2.7272664441805357,13.899661079183126,28.430983701325815,156.00495617725045
251,3,1,0.2295347958545431,0.06782718360662024,3.907592855643454,-1.023350884989685,0.3470703529574692,1.1185871069093378,58.633685441249135
252,9,1,0.16616112956916512,0.10045459390130597,3.9658650974908896,1.4897755222888738,0.2563188144755149,0.9079468927333569,-85.35784904033837
253,7,1,0.15737023429134123,0.024747853220874257,3.893311513428092,-0.16145376674182305,0.2441708744796688,0.7662403944861089,9.250619762242609
254,1,1,0.14519046369521266,0.06471142744234241,4.018064363527216,3.0129385587293105,0.2512253454074308,0.9080290182240564,-172.6286627611257
255,7,1,0.14097074357166442,0.04211312876003101,4.117272157113474,3.0976053697072037,0.20709657800537853,0.7926749287404296,-177.47971434755397
256,9,1,0.22589273538165636,0.04412549551109544,3.9067100288415992,-2.509342820857614,0.3867574675214542,0.9326876294231274,143.7747509812123
257,1,1,0.26325239226020264,0.08942248045874658,3.8836710021222993,1.9836334522224157,0.44501833993302337,1.105428095720544,-113.65382662235403
258,1,1,0.2555750555045882,0.07986346708762275,3.788940657539759,2.017387976894165,0.43912880148442307,1.0705083994839866,-115.58781880734242
259,9,1,0.24150179918435405,0.06115792046775093,4.053592924688196,0.9294424613366911,0.428476969436933,1.1957420900795206,-53.25312831464747
260,6,2,9.09077284005012,0.5548799000445294,6.002878836892049,-0.7388838424838731,13.518799860158031,27.61033612927161,42.569646993892285
261,3,1,0.25025201661156876,0.045634758248965894,3.756567834167469,0.5655094566217538,0.43892775987003696,1.032510659158432,-32.401306282523116
262,3,1,0.15613198712527165,0.06824011744893316,3.868381923909598,0.6532165677362256,0.28545610068631894,0.7351457490717005,-37.42655193904317
263,9,1,0.24637997786232124,0.07821932651786188,3.9477564854155744,-0.41218563834435634,0.40695366360615454,1.0599141137248302,23.61649861112277
264,7,1,0.17799189915711797,0.05432385707396955,3.8097409547706795,-1.7163931074993106,0.27836232736462063,0.8788354028166222,98.34208233409842
265,7,1,0.13832737246393473,0.0716378794324022,4.143264233865506,-2.893544572243396,0.20612759925701646,0.5675894192686808,165.78789124011865
266,7,1,0.14158612722400576,0.038983571314038845,3.978859278822008,1.5447412300423469,0.22456618161412223,0.9043636000173861,-88.50715280351295
267,7,1,0.10309032526523546,0.04854542505334865,3.802643483707855,-2.933957973225997,0.15705616309511183,0.5306145795240117,168.1034089893981
268,9,1,0.18747201992903315,0.052784883450928854,3.9631529061223416,-2.250878684710641,0.28654086020905273,0.9345638792729368,128.9658496459815
269,1,1,0.1904901904041905,0.055455874028157104,3.868893872543866,-2.6407009842490226,0.3320383172218487,1.2653456076156477,151.30102183819545
270,9,1,0.12960880736052416,0.04490902769728185,4.02873511741282,0.39141657361533605,0.21784004412224783,0.6651300367620298,-22.426518199837627
271,3,1,0.1578704213900574,0.043764117158131235,3.890505122133708,-2.663120147883206,0.27520418105157346,0.9514322305068382,152.5855443467285
272,2,2,8.981735735761406,0.5976510648001018,5.918909562889722,-0.29718987844160716,13.359485199096383,27.45701043400597,16.801486836119047
