net,local_idx,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg,rho_even,rho_odd,q_odd_over_even,radius_parity_separation,domain_exact,f_decoder_exact,q_certified,q_break_at,composition_exact,substitution_exact,family
111,50,9,1,0.16094740458400547,0.08477262020153456,3.9556222045863634,1.5768087110458011,0.2731456243576962,0.87151222377591,-90.34448376601827,3.987388890883472,3.9238555182892556,0.9840664218282106,0.016061537049860925,True,True,False,gcd_k_not_2,False,True,FAMILY_F
112,51,9,1,0.2903501215094876,0.09150254461042241,4.16809110325236,-0.2861376990489425,0.46905749691093107,1.319966654204415,16.39448896610017,4.165770752500206,4.170411454004514,1.0011140078943428,0.0011133877329807282,True,True,False,gcd_k_not_2,False,True,FAMILY_F
113,52,7,1,0.20184111224672918,0.054951553641723,3.8598267861696853,0.15553684409934837,0.3050611975543694,0.9908954170172322,-8.911606278649032,3.8488987580967295,3.8707548142426402,1.005678521966818,0.005662444808203332,True,True,False,gcd_k_not_2,False,True,FAMILY_F
115,53,7,1,0.1250822098600695,0.048245715420884565,3.7795621068002596,-1.5954269414955773,0.22055542868133998,0.7272596121327669,91.41123030011359,3.7102983395451026,3.8488258740554167,1.03733595571921,0.03665174181450087,True,True,False,gcd_k_not_2,False,True,FAMILY_F
116,54,4,2,8.895927589457425,0.6053782507465199,6.037656553331923,1.1892204448020458,13.234035351365288,26.950405441170734,-67.9175997745071,9.50471914576566,2.570593960898184,0.27045448913063147,1.1484795671328525,True,False,True,,False,False,FAMILY_Q
117,55,7,1,0.21402815277924536,0.07328746846978386,4.005467185975814,-0.6554897431937555,0.3797559906713152,0.9454947233947638,37.55679455423092,4.090769197519779,3.9201651744318475,0.9582953682179458,0.04259279009581224,True,True,False,gcd_k_not_2,False,True,FAMILY_F
119,56,7,1,0.12910575649636935,0.07386605094843163,3.8772438714180213,-0.9524915715284286,0.2129754180170282,0.6233910809307135,54.57374680132737,3.881533921641084,3.8729538211949572,0.9977895078030133,0.0022129380381195342,True,True,False,gcd_k_not_2,False,True,FAMILY_F
122,57,7,1,0.10808082310860849,0.0373147582860497,4.072830595082787,-2.9832450270369475,0.15956427629122946,0.5657941493081626,170.92734919909958,4.094700067856809,4.050961122308766,0.9893181564404702,0.010739200790931432,True,True,False,gcd_k_not_2,False,True,FAMILY_F
123,58,6,2,8.79412263571221,0.6151035730569571,6.009684639330021,-1.8299042435489192,13.085109381929477,26.804648787517326,105.05792787326911,2.5063772087096936,9.512992069950347,3.795514911679126,1.1658872772435152,True,False,True,,False,False,FAMILY_Q
126,59,9,1,0.1488032095947159,0.050947435213937915,3.9213344972295574,-1.9847834315704767,0.2693857426236025,0.7510465306103654,113.71971482149824,3.9477529830317337,3.8949160114273815,0.9866159377672675,0.013474232213977606,True,True,False,gcd_k_not_2,False,True,FAMILY_F
127,60,7,1,0.13294977389775509,0.04500320323336303,3.9630284646594554,0.13056192583251394,0.21819900440955675,0.9505102732700759,-7.480647335772986,3.8655514828554063,4.0605054464635035,1.050433674075423,0.04919317772925705,True,True,False,gcd_k_not_2,True,True,FAMILY_F
130,61,6,2,9.19395711725808,0.600617606712167,6.0828958871730014,1.2438026081193854,13.669462465261152,28.013670015584943,-71.50758605607994,9.548214571978509,2.6175772023674937,0.2741431062985736,1.1393647858128964,True,False,True,,False,False,FAMILY_Q
131,62,9,1,0.19363598248801353,0.06454611717047422,3.873062293916438,-1.6308089336610583,0.29822509270667824,1.0421565601322684,93.43847047000187,3.7499423294064007,3.996182258426475,1.0656649909224212,0.06357758030560275,True,True,False,gcd_k_not_2,False,True,FAMILY_F
132,63,2,2,9.015935278953812,0.609769722727901,6.078295579095776,-1.5279878629529842,13.409466697712912,27.410955993130496,87.31837927515569,9.591451962560374,2.565139195631178,0.2674401337403385,1.1559676023479017,True,False,True,,False,False,FAMILY_Q
135,64,1,1,0.146673518003516,0.048669619518312,3.8473386302808086,2.6822670673593145,0.29583818451565996,1.2446605949237741,-153.68258234522284,3.838904378530657,3.8557728820309607,1.0043940931674782,0.004384460303945895,True,True,False,gcd_k_not_2,False,True,FAMILY_F
137,65,9,1,0.17033302738928546,0.05386003137517124,4.065844172162557,1.7227443639421731,0.2525542625490357,0.9121429192103817,-98.7059818774028,4.078697791357934,4.052990552967179,0.9936971946180411,0.0063227308529833735,True,True,False,gcd_k_not_2,False,True,FAMILY_F
138,66,4,2,8.99158741871586,0.5956048840543757,5.834205086992035,-2.4617293575552552,13.373882785829162,27.293159909155914,141.27369902741765,9.130569941173851,2.537840232810216,0.2779498157465452,1.130013362585215,True,False,True,,False,False,FAMILY_Q
139,67,7,1,0.16290988552822905,0.027357779251857915,3.990920808982488,-1.5083919563352672,0.27859282292524506,1.0632058347535212,86.42449339132232,3.9914706767004846,3.9903709412644908,0.999724478638309,0.0002755593229308471,True,True,False,gcd_k_not_2,False,True,FAMILY_F
140,68,7,1,0.170180364162611,0.04451363749756739,3.9952654614203014,-0.7365647432531081,0.3079294518769806,0.8152602966097301,42.2020511112984,4.012388892028696,3.978142030811907,0.9914647203602756,0.008571861256151517,True,True,False,gcd_k_not_2,False,True,FAMILY_F
141,69,1,1,0.1932193363867532,0.03478565183725177,3.9271076869803907,1.587872528495859,0.23215584293572347,0.9297927222597305,-90.97839441266224,3.9622637900307724,3.891951583930009,0.9822545368438941,0.017904323411825653,True,True,False,gcd_k_not_2,False,True,FAMILY_F
142,70,3,1,0.12184813553087959,0.043746957384301635,3.8944855866349215,-2.063251917733452,0.21447693229636228,0.7127570012111221,118.21562720894042,3.9885950475017906,3.8003761257680524,0.9528107216971984,0.048329597721369695,True,True,False,gcd_k_not_2,False,True,FAMILY_F
143,71,1,1,0.1463456091082438,0.05250191868827397,3.948651444474136,-0.37662136897244053,0.27388049354005367,0.7726997867657115,21.57881540102088,4.022502912121604,3.874799976826668,0.9632808381940903,0.03740591879833719,True,True,False,gcd_k_not_2,False,True,FAMILY_F
144,72,1,1,0.13861780681288088,0.06228653894763599,4.0001022526557986,1.045286887047317,0.24819803798850332,0.7195927782950975,-59.89052681019644,3.9168390248870333,4.083365480424564,1.0425155219500841,0.041630549675815955,True,True,False,gcd_k_not_2,False,True,FAMILY_F
147,73,2,2,8.981505737633807,0.6179943730331936,6.144947083720163,2.003203458574813,13.359148585372731,27.23596909331815,-115.00132490626449,9.74685725356748,2.5430369138728475,0.2609083982369868,1.172316090203567,True,False,True,,False,False,FAMILY_Q
