net,local_idx,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg
202,115,3,1,0.05148619071861104,0.06173823456150645,6.252822419183713,2.1337890258018763,0.08284665805613946,0.2729289142580853,-122.2571055701786
203,116,17,1,0.05636103941598869,0.06545661954682964,6.273809866693013,-2.949469407926096,0.09930409335815057,0.3172119654534504,168.99214883083056
204,117,3,1,0.03875016581792647,0.04823006080190133,6.16949743241569,1.5854864688938821,0.06434217150439597,0.2565040444503278,-90.84168313166559
205,118,10,2,3.771599938896093,0.5301357325020027,9.164563668815662,2.8939817853781755,5.6491939585045134,11.428019611879083,-165.8293563088301
207,119,7,1,0.0422121201340739,0.05413541501006447,6.200694707356732,1.952177272125996,0.07097642554483213,0.21817597622462903,-111.85151856214334
208,120,19,1,0.07131811195537692,0.07494942549494259,6.312794371478481,1.0994238321660557,0.11149406579269643,0.45191750813976134,-62.99234540346741
209,121,4,2,3.7580948298177885,0.5333709931739196,9.212448616317166,0.09479891828680968,5.629023986383895,11.375337991778183,-5.44781575022797
210,122,3,1,0.06500440763446948,0.05242348700230502,6.254651030979522,-2.2551201514152135,0.10149293762971776,0.3066189436501087,129.20886698620515
212,123,4,2,3.7690572003063534,0.5272907655137009,9.359917891961608,2.598347239078655,5.645396042253471,11.413634453329264,-148.85794973415594
215,124,7,1,0.032705835002040856,0.06064757330082723,6.296906685445123,0.847047117417716,0.061295374569013676,0.16775528403627987,-48.53222487122318
216,125,21,1,0.03461960936950465,0.04404475512199722,6.165495592946212,0.8116838236174972,0.05974431355591806,0.1750796295703698,-46.50605739820404
217,126,18,2,3.7681177846808627,0.5341375180110847,9.306860608122806,-1.3857754139588494,5.6439930372452425,11.390259006078496,79.38271409589927
219,127,19,1,0.06585283980731721,0.06970594252334501,6.306808406218564,-0.8405239476134383,0.10043229031751869,0.3351072037625489,48.15847478021297
220,128,7,1,0.07010110756032793,0.06004372060722895,6.179431068146508,1.6492051645375656,0.11682758796856327,0.3140512705411174,-94.49249554634602
224,129,3,1,0.054331795836878055,0.05972367587066162,6.32015204087179,1.5134622970879423,0.08090639808396653,0.26979357638932194,-86.71500206883756
228,130,3,1,0.07566410793975392,0.06411496640146744,6.221810128926495,0.39997242437539154,0.1180799149055292,0.3967242406270861,-22.916731932464863
229,131,17,1,0.07290081511009332,0.05941236162004273,6.105139005710668,0.6474302484927783,0.10871939618171785,0.4151117707732739,-37.09502077495262
231,132,21,1,0.05605422559121222,0.07711046672780227,6.257684435339292,1.6188323774715925,0.09786270872376908,0.27206264495695626,-92.75226296599935
235,133,9,1,0.05249262450673873,0.061816409447888014,6.345627246765702,-2.143653523689649,0.08389985053758955,0.26708688514553114,122.82229967261124
238,134,17,1,0.04417290459905045,0.07065230404884464,6.2555847971896235,3.041533720635512,0.07112399854989264,0.2271540610552553,-174.2670454368803
239,135,4,2,3.7792419962946937,0.5290588419626475,9.317598755566328,2.248814974818149,5.6606061035410296,11.427754484887675,-128.83109265671743
242,136,1,1,0.03877913330466512,0.04375445716200884,6.248327605650417,-2.7406737979633564,0.06807032141000974,0.21278411262914373,157.02904162969455
243,137,3,1,0.04676512238989343,0.05407042344975783,6.2379994674190185,-0.3384595496409358,0.07601817298847484,0.2204327939113317,19.392303757044033
245,138,19,1,0.0482715210727666,0.04365895083341938,6.249148313527774,-2.128052222380401,0.07833147977650963,0.2303635224286972,121.92841095173017
247,139,7,1,0.08814023638029263,0.06358654084079389,6.21879747325172,-2.774413597435499,0.14067064401568985,0.41027785229407876,158.96218957607604
248,140,5,1,0.06162313414769777,0.05799177093187866,6.302955381721802,-2.6766195989057002,0.09589465956907331,0.2653880027449369,153.35900632828125
